"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.extension","getdispenseddrugs.lakemedelsforteckning.artikelinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.modifierExtension","getdispenseddrugs.lakemedelsforteckning.artikelinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalEnhet","getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalEnhet","","","",0,1,"","","","string {[]} {[]}
","Enhet för antalForpackning","Exempelvis ""styck"" eller ""milliliter"". Exempel där antalEnhet ingår: ""6 x 5 x 0.72 milliliter"". Fältlängd 1..80.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalEnhet",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalIForpackning","getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalIForpackning","","","",0,1,"","","","decimal {[]} {[]}
","Antal i förpackning","Numerisk angivelse, exempelvis 0,72 (XSD-typ decimaltal, högst 3 decimaler). Exempel: ""6 x 5 x 0.72 milliliter"".","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalIForpackning",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning","getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning","","","",0,1,"","","","integer {[]} {[]}
","Antal yttersta förpackningar (multipel 2)","Exempelvis 6. Exempel: ""6 x 5 x 0.72 milliliter"".","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYttreForpackning","getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYttreForpackning","","","",0,1,"","","","integer {[]} {[]}
","Antal yttre förpackningar (multipel 1)","Exempelvis 5. Exempel: ""6 x 5 x 0.72 milliliter"".","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.antalYttreForpackning",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckod","getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckod","","","",0,1,"","","","string {[]} {[]}
","ATC-kod","Exempel: ""C07AB03"". Fältlängd 1..8.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckod",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckodKlartext","getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckodKlartext","","","",0,1,"","","","string {[]} {[]}
","Verksamt ämne enligt ATC-kod","Exempel: ""Atenolol"". Fältlängd 1..240.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.atckodKlartext",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningsstorlek","getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningsstorlek","","","",0,1,"","","","string {[]} {[]}
","Förpackningsstorlek","Exempel: ""6 x 5 x 0.72 milliliter"". Fältlängd 1..50.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningsstorlek",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningstyp","getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningstyp","","","",0,1,"","","","string {[]} {[]}
","Artikelns förpackningstyp","Exempel: ""Blister"". Fältlängd 1..40.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.forpackningstyp",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.intressent","getdispenseddrugs.lakemedelsforteckning.artikelinformation.intressent","","","",0,1,"","","","string {[]} {[]}
","Ansvarigt företag för artikeln","T.ex. innehavare av godkännande/registrering av försäljning eller parallellimportör. Exempel: ""AstraZeneca AB"". Fältlängd 1..160.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.intressent",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsform","getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsform","","","",0,1,"","","","string {[]} {[]}
","Läkemedelsform","Exempel: ""Filmdragerad tablett"". Fältlängd 1..160.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsform",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsformKod","getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsformKod","","","",0,1,"","","","string {[]} {[]}
","Kod för läkemedelsform (beredningsformkod)","Exempel: ""FICOTA"". Fältlängd 1..6.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.lakemedelsformKod",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.nplPackid","getdispenseddrugs.lakemedelsforteckning.artikelinformation.nplPackid","","","",1,1,"","","","string {[]} {[]}
","NPL Pack-id alternativt SB Pack-id","Identitet på förskrivet läkemedel. Fältlängd 14..14.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.nplPackid",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.produktnamn","getdispenseddrugs.lakemedelsforteckning.artikelinformation.produktnamn","","","",0,1,"","","","string {[]} {[]}
","Läkemedelsnamn","Fältlängd 1..100.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.produktnamn",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrka","getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrka","","","",0,1,"","","","decimal {[]} {[]}
","Numerisk styrka","Exempel ""20.0"" (XSD-typ decimaltal, högst 3 decimaler).","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrka",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaEnhet","getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaEnhet","","","",0,1,"","","","string {[]} {[]}
","Styrkans enhet","Exempel: ""mg"". Fältlängd 1..60.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaEnhet",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaKlartext","getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaKlartext","","","",0,1,"","","","string {[]} {[]}
","Styrka i klartext","Exempel: ""20.0 mg"". Fältlängd 1..80.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.artikelinformation.styrkaKlartext",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.borttagen","getdispenseddrugs.lakemedelsforteckning.borttagen","","","",1,1,"","","","boolean {[]} {[]}
","Markering om posten är borttagen","Sant om posten är borttagen, annars falskt. En borttagen post ska visas överstruken med borttagsdatum och borttagsorsak.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.borttagen",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.borttagsdatum","getdispenseddrugs.lakemedelsforteckning.borttagsdatum","","","",0,1,"","","","dateTime {[]} {[]}
","Tidpunkt då posten markerades som borttagen","Returneras endast om borttagen är sant.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.borttagsdatum",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.borttagsorsak","getdispenseddrugs.lakemedelsforteckning.borttagsorsak","","","",0,1,"","","","string {[]} {[]}
","Kommentar för borttagen post","Returneras endast om borttagen är sant. Fältlängd 1..50.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.borttagsorsak",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.doseringstext","getdispenseddrugs.lakemedelsforteckning.doseringstext","","","",1,1,"","","","string {[]} {[]}
","Doseringsanvisning","Doseringstext inklusive ändamål. Fältlängd 1..1016.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.doseringstext",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.expeditionsId","getdispenseddrugs.lakemedelsforteckning.expeditionsId","","","",0,1,"","","","string {[]} {[]}
","Expeditionsid hämtat från eHälsomyndigheten","Fältlängd 1..31.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.expeditionsId",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.expeditionsdatum","getdispenseddrugs.lakemedelsforteckning.expeditionsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","Datum för utlämning från apotek","Datum för utlämning från apotek","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.expeditionsdatum",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsnamn","getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens arbetsplats namn","Fältlängd 1..35.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsnamn",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsOrt","getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsOrt","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens arbetsplats ort","Fältlängd 1..28.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarensArbetsplatsOrt",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarnamn","getdispenseddrugs.lakemedelsforteckning.forskrivarnamn","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens namn","Fältlängd 1..71.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarnamn",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarpostadress","getdispenseddrugs.lakemedelsforteckning.forskrivarpostadress","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens postadress","Fältlängd 1..35.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarpostadress",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarpostnummer","getdispenseddrugs.lakemedelsforteckning.forskrivarpostnummer","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens postnummer","Fältlängd 5..6.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarpostnummer",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivarspecialiteter","getdispenseddrugs.lakemedelsforteckning.forskrivarspecialiteter","","","",0,*,"","","","string {[]} {[]}
","Förskrivarens specialitet i klartext","Fältlängd 1..256.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivarspecialiteter",0,*,"",""
"getdispenseddrugs.lakemedelsforteckning.forskrivaryrke","getdispenseddrugs.lakemedelsforteckning.forskrivaryrke","","","",0,1,"","","","string {[]} {[]}
","Förskrivarens yrke i klartext","Fältlängd 1..100.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.forskrivaryrke",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.mangd","getdispenseddrugs.lakemedelsforteckning.mangd","","","",1,1,"","","","string {[]} {[]}
","Totalt expedierad mängd","Kan returneras som antalPillerKlartext eller antalForpackningar + forpackningsstorlek. Exempel: ""28 st"" eller ""2x100 tabletter"". Fältlängd 1..100.","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.mangd",1,1,"",""
"getdispenseddrugs.lakemedelsforteckning.ordinationsmappning","getdispenseddrugs.lakemedelsforteckning.ordinationsmappning","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information för att mappa posten till en ordination","Saknas i vissa fall, t.ex. när samma läkemedel (nplpackid) förekommer flera gånger i samma expedition, vid pappers- och telefonrecept, och vid uttag från äldre receptexpeditionssystem (expeditionsid saknas).","","","","","","","","","",,,,,"",,,,"getdispenseddrugs.lakemedelsforteckning.ordinationsmappning",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getdispenseddrugs.lakemedelsforteckning.ordinationsmappning.id","getdispenseddrugs.lakemedelsforteckning.ordinationsmappning.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getdispenseddrugs.lakemedelsforteckning.ordinationsmappning.extension","getdispenseddrugs.lakemedelsforteckning.ordinationsmappning.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
