"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getterminologysubset-request","getterminologysubset-request","","","",0,*,"","","","null {[]} {[]}
","GetTerminologySubset — Request","Logisk modell för begäran i GetTerminologySubset
(urn:riv:infrastructure:informationstructureservice:terminology:GetTerminologySubsetResponder:1, GetTerminologySubsetRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getterminologysubset-request.logicalAddress","getterminologysubset-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. HSA-id for the entity responsible for the subset","","","","","","","","","",,,,,"",,,,"getterminologysubset-request.logicalAddress",1,1,"",""
"getterminologysubset-request.SubsetIdentity","getterminologysubset-request.SubsetIdentity","","","",1,1,"","","","string {[]} {[]}
","SubsetIdentity","Identifierare som representerar urvalet","","","","","","","","","",,,,,"",,,,"getterminologysubset-request.SubsetIdentity",1,1,"",""
"getterminologysubset-request.LocalOrganizationExtensionId","getterminologysubset-request.LocalOrganizationExtensionId","","","",0,1,"","","","string {[]} {[]}
","LocalOrganizationExtensionId","Id för system eller organisation","","","","","","","","","",,,,,"",,,,"getterminologysubset-request.LocalOrganizationExtensionId",0,1,"",""
"getterminologysubset-request.TermType","getterminologysubset-request.TermType","","","",1,1,"","","","string {[]} {[]}
","TermType","Type of term","","","","","","","","","",,,,,"",,,,"getterminologysubset-request.TermType",1,1,"",""
