"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"update","update","","","",0,*,"","","","null {[]} {[]}
","Update","Logisk modell för tjänstekontraktet Update
(RIV-TA urn:riv:itintegration:engagementindex:Update:1).
Representerar responsens informationsstruktur — ett statusbesked
som anger om uppdateringsoperationen lyckades eller misslyckades.

Kontraktet används av källsystem för att skapa, uppdatera och radera
indexposter i ett engagemangsindex.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"update.resultCode","update.resultCode","","","",1,1,"","","","code {[]} {[]}
","Resultatkod","Statuskod som anger utfallet av uppdateringsoperationen.
Tillåtna värden:
  OK    — Transaktionen har utförts enligt uppdraget.
  INFO  — Transaktionen har utförts men det finns ett informationsmeddelande.
  ERROR — Transaktionen har INTE kunnat utföras p.g.a. logiskt fel.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"update.resultCode",1,1,"",""
"update.comment","update.comment","","","",0,1,"","","","string {[]} {[]}
","Kommentar","Fritext-meddelande med ytterligare information om resultatet.
Används framförallt vid INFO och ERROR för att ge konsumenten
mer detaljerad information om vad som hänt.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"update.comment",0,1,"",""
