"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"handlehospcertificationperson","handlehospcertificationperson","","","",0,*,"","","","null {[]} {[]}
","HandleHospCertificationPerson","Logisk modell för tjänstekontraktet HandleHospCertificationPerson
(RIV-TA urn:riv:infrastructure:directory:authorizationmanagement:HandleHospCertificationPerson:1).
Representerar responsens informationsstruktur. Används för att lägga till eller ta bort
personobjekt från kommande utlämningsförfrågningar av HOSP-information till Socialstyrelsen.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"handlehospcertificationperson.resultCode","handlehospcertificationperson.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultat av add eller remove-anrop (OK eller ERROR)","Resultat av add eller remove-anrop (OK eller ERROR)","","","","","","","","","",,,,,"",,,,"handlehospcertificationperson.resultCode",1,1,"",""
"handlehospcertificationperson.resultText","handlehospcertificationperson.resultText","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel vid resultCode=ERROR","Beskrivning av fel vid resultCode=ERROR","","","","","","","","","",,,,,"",,,,"handlehospcertificationperson.resultText",0,1,"",""
