URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhir.inera.se/ig/eservicesupply-eoffering/ValueSet/gender-eoffering-vs,1.0.0,active,,GenderEofferingVS,Gender (eOffering) — ValueSet,"Tillåtna värden för kön (gender) i GetAvailableEServices. 1 = Man, 2 = Kvinna.","StructureDefinition/getavailableeservices","Internal"
https://fhir.inera.se/ig/eservicesupply-eoffering/ValueSet/securitylevel-vs,1.0.0,active,,SecurityLevelVS,SecurityLevel — ValueSet,"Tillåtna värden för autentiseringsnivå (securitylevel) i GetAvailableEServices, enligt ISO/IEC 29115.","StructureDefinition/getavailableeservices","Internal"
