"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"skickameddelanden","skickameddelanden","","","",0,*,"","","","null {[]} {[]}
","SkickaMeddelanden — Response","Logisk modell för svaret i SkickaMeddelanden
(urn:riv:druglogistics:dosedispensing:SkickaMeddelandenResponder:1, SkickaMeddelandenResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"skickameddelanden.resultatkod","skickameddelanden.resultatkod","","","",1,1,"","","","code {[]} {[]}
","resultatkod","resultatkod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/druglogistics-dosedispensing/ValueSet/dosedispensing-resultatkod-vs","",,,,"skickameddelanden.resultatkod",1,1,"",""
"skickameddelanden.meddelandetext","skickameddelanden.meddelandetext","","","",1,1,"","","","string {[]} {[]}
","meddelandetext","meddelandetext","","","","","","","","","",,,,,"",,,,"skickameddelanden.meddelandetext",1,1,"",""
"skickameddelanden.meddelandeid","skickameddelanden.meddelandeid","","","",1,1,"","","","integer {[]} {[]}
","meddelandeid","meddelandeid","","","","","","","","","",,,,,"",,,,"skickameddelanden.meddelandeid",1,1,"",""
"skickameddelanden.meddelande","skickameddelanden.meddelande","","","",0,1,"","","","integer {[]} {[]}
","meddelande","meddelande","","","","","","","","","",,,,,"",,,,"skickameddelanden.meddelande",0,1,"",""
