URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir.inera.se/CodeSystem/dosedispensing-bestallningsstatus-cs,1.1.0,active,,BestallningsStatusCS,Beställningsstatus,"Koder för BestallningsStatusEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf) och releasenoteringarna 1.0.4 (kod 5).","ValueSet/dosedispensing-bestallningsstatus-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-bestallningsurval-cs,1.1.0,active,,BestallningsurvalCS,Beställningsurval,"Koder för BestallningsurvalEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-bestallningsurval-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-identitetstyp-cs,1.1.0,active,,IdentitetstypCS,Identitetstyp,"Koder för IdentitetstypEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-identitetstyp-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-kommunikationsriktning-cs,1.1.0,active,,KommunikationsriktningCS,Kommunikationsriktning,"Koder för KommunikationsriktningEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-kommunikationsriktning-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-meddelandeprioritet-cs,1.1.0,active,,MeddelandePrioritetCS,Meddelandeprioritet,"Koder för MeddelandePrioritetEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-meddelandeprioritet-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-meddelandestatus-cs,1.1.0,active,,MeddelandeStatusCS,Meddelandestatus,"Koder för MeddelandeStatusEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-meddelandestatus-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-meddelandetyp-cs,1.1.0,active,,MeddelandetypCS,Meddelandetyp,"Koder för MeddelandetypEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-meddelandetyp-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-resultatkod-cs,1.1.0,active,,ResultatkodCS,Resultatkod,"Koder för ResultatkodEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-resultatkod-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-vardtagarstatus-cs,1.1.0,active,,VardtagarStatusCS,Vårdtagarstatus,"Koder för VardtagarStatusEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-vardtagarstatus-vs"
https://fhir.inera.se/CodeSystem/dosedispensing-yrkeskod-cs,1.1.0,active,,YrkesKodCS,Yrkeskod,"Koder för YrkesKodEnum i domänschemat. Visningstexter ur Pascal – Objekt och felhantering (Objekt_och_felhantering.pdf).","ValueSet/dosedispensing-yrkeskod-vs"
