"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtalokaltproduktsortiment-request","hamtalokaltproduktsortiment-request","","","",0,*,"","","","null {[]} {[]}
","HamtaLokaltProduktsortiment — Request","Logisk modell för begäran i HamtaLokaltProduktsortiment
(urn:riv:druglogistics:dosedispensing:HamtaLokaltProduktsortimentResponder:1, HamtaLokaltProduktsortimentType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtalokaltproduktsortiment-request.logicalAddress","hamtalokaltproduktsortiment-request.logicalAddress","","","",1,1,"","","","BackboneElement {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. Typen har inga element utöver utökningspunkter.","","","","","","","","","",,,,,"",,,,"hamtalokaltproduktsortiment-request.logicalAddress",1,1,"",""
"hamtalokaltproduktsortiment-request.glnkod","hamtalokaltproduktsortiment-request.glnkod","","","",1,1,"","","","string {[]} {[]}
","glnkod","glnkod","","","","","","","","","",,,,,"",,,,"hamtalokaltproduktsortiment-request.glnkod",1,1,"",""
"hamtalokaltproduktsortiment-request.dosaktor","hamtalokaltproduktsortiment-request.dosaktor","","","",1,1,"","","","string {[]} {[]}
","dosaktor","dosaktor","","","","","","","","","",,,,,"",,,,"hamtalokaltproduktsortiment-request.dosaktor",1,1,"",""
