URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir.inera.se/CodeSystem/kvformavframstallan-cs,2.0.1,active,,KvFormAvFramstallanCS,Kv Form av framställan,"Kodverk Kv Form av framställan — anger medium/form för en remiss/framställan. OID: 1.2.752.129.2.2.2.7.",
https://fhir.inera.se/CodeSystem/kvframstallantyp-cs,2.0.1,active,,KvFramstallantypCS,Kv framställantyp,"Kodverk Kv framställantyp — anger typ av remiss/framställan. OID: 1.2.752.129.2.2.2.24.",
https://fhir.inera.se/CodeSystem/kvstatusvardbegaran-cs,2.0.1,active,,KvStatusVardbegaranCS,Kv status vårdbegäran,"Kodverk Kv status vårdbegäran — anger status för en remiss/vårdbegäran. OID: 1.2.752.129.2.2.2.43. Kodverket kan komma att kompletteras utan versionsuppdatering av tjänstekontraktet. Konsumenter MÅSTE vara förberedda på nya koder.",
