"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getcertificate-request","getcertificate-request","","","",0,*,"","","","null {[]} {[]}
","GetCertificate — Request","Logisk modell för requestparametrar i GetCertificate.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getcertificate-request.intygsId","getcertificate-request.intygsId","","","",1,1,"","","","Identifier {[]} {[]}
","Unikt ID för det intyg som ska hämtas","Unikt identifierare för det efterfrågade intyget.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getcertificate-request.intygsId",1,1,"",""
"getcertificate-request.part","getcertificate-request.part","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Part som skickar begäran","Kodat värde som anger vilken part i intygshanteringsprocessen som skickar begäran.
Styr vilka statusposter som returneras.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/clinicalprocess-healthcond-certificate/ValueSet/part-vs","",,,,"getcertificate-request.part",1,1,"",""
