"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelform-request","cancelform-request","","","",0,*,"","","","null {[]} {[]}
","CancelForm — Request","Logisk modell för requestparametrar i CancelForm
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:CancelForm:2).
Avbryter och raderar ett pågående formulär.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelform-request.formId","cancelform-request.formId","","","",1,1,"","","","string {[]} {[]}
","Formulärets unika ID (GUID) som skall avbrytas","Formulärets unika ID (GUID) som skall avbrytas","","","","","","","","","",,,,,"",,,,"cancelform-request.formId",1,1,"",""
"cancelform-request.subjectOfCare","cancelform-request.subjectOfCare","","","",0,1,"","","","string {[]} {[]}
","Invånarens personnummer (yyyymmddnnnn)","Invånarens personnummer (yyyymmddnnnn)","","","","","","","","","",,,,,"",,,,"cancelform-request.subjectOfCare",0,1,"",""
"cancelform-request.reason","cancelform-request.reason","","","",0,1,"","","","string {[]} {[]}
","Anledning till avbrytning (valfri kommentar)","Anledning till avbrytning (valfri kommentar)","","","","","","","","","",,,,,"",,,,"cancelform-request.reason",0,1,"",""
