"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformquestionpage-request","getformquestionpage-request","","","",0,*,"","","","null {[]} {[]}
","GetFormQuestionPage — Request","Logisk modell för requestparametrar i GetFormQuestionPage
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetFormQuestionPage:2).
Hoppa/navigera framåt eller bakåt i ett formulär.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformquestionpage-request.formId","getformquestionpage-request.formId","","","",1,1,"","","","string {[]} {[]}
","Formulärets unika ID (GUID)","Formulärets unika ID (GUID)","","","","","","","","","",,,,,"",,,,"getformquestionpage-request.formId",1,1,"",""
"getformquestionpage-request.pageNumber","getformquestionpage-request.pageNumber","","","",1,1,"","","","integer {[]} {[]}
","Nummer på sidan navigering utgår ifrån. Ange 0 + FORWARD för första sidan, 0 + BACK för sista sidan.","Nummer på sidan navigering utgår ifrån. Ange 0 + FORWARD för första sidan, 0 + BACK för sista sidan.","","","","","","","","","",,,,,"",,,,"getformquestionpage-request.pageNumber",1,1,"",""
"getformquestionpage-request.direction","getformquestionpage-request.direction","","","",1,1,"","","","string {[]} {[]}
","Riktning: FORWARD eller BACK","BACK ej tillåtet om PageNumber = 1. FORWARD ej tillåtet om LastPage = true.","","","","","","","","","",,,,,"",,,,"getformquestionpage-request.direction",1,1,"",""
"getformquestionpage-request.subjectOfCare","getformquestionpage-request.subjectOfCare","","","",0,1,"","","","string {[]} {[]}
","Invånarens personnummer (yyyymmddnnnn)","Invånarens personnummer (yyyymmddnnnn)","","","","","","","","","",,,,,"",,,,"getformquestionpage-request.subjectOfCare",0,1,"",""
