"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"saveform","saveform","","","",0,*,"","","","null {[]} {[]}
","SaveForm","Logisk modell för svar (response) i tjänstekontraktet SaveForm
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:SaveForm:2).
Bekräftar att formuläret har avslutats och fått status COMPLETED.
Formulärmotorn skickar notifiering till engagemangsindex (categorization = FormComplete).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"saveform.resultCode","saveform.resultCode","","","",1,1,"","","","string {[]} {[]}
","Svarskod (OK = formuläret har avslutats)","Svarskod (OK = formuläret har avslutats)","","","","","","","","","",,,,,"",,,,"saveform.resultCode",1,1,"",""
"saveform.comment","saveform.comment","","","",0,1,"","","","string {[]} {[]}
","Kommentar","Kommentar","","","","","","","","","",,,,,"",,,,"saveform.comment",0,1,"",""
"saveform.formId","saveform.formId","","","",0,1,"","","","string {[]} {[]}
","Formulärets unika ID (bekräftelse)","Formulärets unika ID (bekräftelse)","","","","","","","","","",,,,,"",,,,"saveform.formId",0,1,"",""
