"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getforms-request","getforms-request","","","",0,*,"","","","null {[]} {[]}
","GetForms — Request","Logisk modell för requestparametrar i GetForms
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetForms:2).
Hämtar alla pågående eller avslutade formulär för en invånare.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getforms-request.healthcareFacilityCareUnit","getforms-request.healthcareFacilityCareUnit","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet","HSA-id för vårdenhet","","","","","","","","","",,,,,"",,,,"getforms-request.healthcareFacilityCareUnit",1,1,"",""
"getforms-request.subjectOfCare","getforms-request.subjectOfCare","","","",0,1,"","","","string {[]} {[]}
","Invånarens personnummer (yyyymmddnnnn)","Invånarens personnummer (yyyymmddnnnn)","","","","","","","","","",,,,,"",,,,"getforms-request.subjectOfCare",0,1,"",""
"getforms-request.formStatus","getforms-request.formStatus","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Filterering på formulärstatus","Filterering på formulärstatus","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-supportservices-forminteraction/ValueSet/formstatus-vs","",,,,"getforms-request.formStatus",0,*,"",""
"getforms-request.clinicalProcessInterestId","getforms-request.clinicalProcessInterestId","","","",0,1,"","","","string {[]} {[]}
","Hälsoärende-id","Hälsoärende-id","","","","","","","","","",,,,,"",,,,"getforms-request.clinicalProcessInterestId",0,1,"",""
