"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformtemplate-request","getformtemplate-request","","","",0,*,"","","","null {[]} {[]}
","GetFormTemplate — Request","Logisk modell för requestparametrar i GetFormTemplate
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetFormTemplate:2).
Hämtar en specifik formulärmall inkl. alla sidor och frågor.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getformtemplate-request.healthcareFacilityCareUnit","getformtemplate-request.healthcareFacilityCareUnit","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet","HSA-id för vårdenhet","","","","","","","","","",,,,,"",,,,"getformtemplate-request.healthcareFacilityCareUnit",1,1,"",""
"getformtemplate-request.templateId","getformtemplate-request.templateId","","","",1,1,"","","","string {[]} {[]}
","Typ av formulärmall (KV Malltyp)","Typ av formulärmall (KV Malltyp)","","","","","","","","","",,,,,"",,,,"getformtemplate-request.templateId",1,1,"",""
"getformtemplate-request.templateVersion","getformtemplate-request.templateVersion","","","",0,1,"","","","string {[]} {[]}
","Önskad version","Önskad version","","","","","","","","","",,,,,"",,,,"getformtemplate-request.templateVersion",0,1,"",""
