"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"createformrequest","createformrequest","","","",0,*,"","","","null {[]} {[]}
","CreateFormRequest","Logisk modell för svar (response) i tjänstekontraktet CreateFormRequest
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:CreateFormRequest:2).
Bekräftar att formulärbegäran har registrerats.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"createformrequest.resultCode","createformrequest.resultCode","","","",1,1,"","","","string {[]} {[]}
","Svarskod (OK = formulärbegäran registrerad)","Svarskod (OK = formulärbegäran registrerad)","","","","","","","","","",,,,,"",,,,"createformrequest.resultCode",1,1,"",""
"createformrequest.comment","createformrequest.comment","","","",0,1,"","","","string {[]} {[]}
","Kommentar","Kommentar","","","","","","","","","",,,,,"",,,,"createformrequest.comment",0,1,"",""
"createformrequest.formId","createformrequest.formId","","","",0,1,"","","","string {[]} {[]}
","Formulär-id (bekräftelse på det ID som skickades i begäran)","Formulär-id (bekräftelse på det ID som skickades i begäran)","","","","","","","","","",,,,,"",,,,"createformrequest.formId",0,1,"",""
