"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getform-request","getform-request","","","",0,*,"","","","null {[]} {[]}
","GetForm — Request","Logisk modell för requestparametrar i GetForm
(RIV-TA urn:riv:infrastructure:supportservices:forminteraction:GetForm:2).
Hämtar ett specifikt formulär inkl. aktuell sida med frågor.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getform-request.formId","getform-request.formId","","","",1,1,"","","","string {[]} {[]}
","Formulärets unika ID (GUID)","Formulärets unika ID (GUID)","","","","","","","","","",,,,,"",,,,"getform-request.formId",1,1,"",""
"getform-request.subjectOfCare","getform-request.subjectOfCare","","","",0,1,"","","","string {[]} {[]}
","Invånarens personnummer (yyyymmddnnnn)","Invånarens personnummer (yyyymmddnnnn)","","","","","","","","","",,,,,"",,,,"getform-request.subjectOfCare",0,1,"",""
