"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"setselectedcommissionforperson","setselectedcommissionforperson","","","",0,*,"","","","null {[]} {[]}
","SetSelectedCommissionForPerson","Logisk modell för tjänstekontraktet SetSelectedCommissionForPerson
(RIV-TA urn:riv:ehr:commission:SetSelectedCommissionForPersonResponder:1).
Representerar responsens informationsstruktur (Result).

Tjänsten sätter vilket medarbetaruppdrag som valdes aktivt av en person.
Valet är aktuellt under nästkommande 12 timmar.
Möjlighet finns att nollställa valet genom att utelämna commissionHsaId.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"setselectedcommissionforperson.resultCode","setselectedcommissionforperson.resultCode","","","",1,1,"","","","code {[]} {[]}
","Svarskod för åtgärden","Anger svarskod för åtgärden enligt ResultCode-kodverket.
Kardinalitet: Obligatorisk.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-commission/ValueSet/resultcode-vs","",,,,"setselectedcommissionforperson.resultCode",1,1,"",""
"setselectedcommissionforperson.resultText","setselectedcommissionforperson.resultText","","","",1,1,"","","","string {[]} {[]}
","Felmeddelande (tomt vid OK)","Optionellt felmeddelande som innehåller information om felet som uppstod.
Fältet är tomt om resultatkoden är OK.
Kardinalitet: Obligatorisk (men innehållet kan vara tomt sträng).","","","","","","","","","",,,,,"",,,,"setselectedcommissionforperson.resultText",1,1,"",""
