"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deleteehrextractstatus-request","deleteehrextractstatus-request.response-detail.type-code","deleteehrextractstatus-request.response_detail.type_code","","","",0,1,"","","","code {[]} {[]}
","type_code","(XML-attribut.)","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientsummary/ValueSet/patientsummary-responsedetailtypecodes-vs","",,,,"deleteehrextractstatus-request.response_detail.type_code",0,1,"",""
"deleteehrextractstatus","deleteehrextractstatus","deleteehrextractstatus","","","",0,*,"","","","null {[]} {[]}
","DeleteEhrExtractStatus — Response","Logisk modell för svaret i DeleteEhrExtractStatus
(urn:riv:ehr:patientsummary:DeleteEhrExtractInitiator:1, DeleteEhrExtractStatusResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteehrextractstatus","deleteehrextractstatus.success","deleteehrextractstatus.success","","","",1,1,"","","","boolean {[]} {[]}
","success","success","","","","","","","","","",,,,,"",,,,"deleteehrextractstatus.success",1,1,"",""
"getehrextract-request","getehrextract-request","getehrextract-request","","","",0,*,"","","","null {[]} {[]}
","GetEhrExtract — Request","Logisk modell för begäran i GetEhrExtract
(urn:riv:ehr:patientsummary:GetEhrExtractResponder:1, GetEhrExtractType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getehrextract-request","getehrextract-request.logicalAddress","getehrextract-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. the HSA-id of the service producer","","","","","","","","","",,,,,"",,,,"getehrextract-request.logicalAddress",1,1,"",""
"getehrextract-request","getehrextract-request.subject-of-care-id","getehrextract-request.subject_of_care_id","","","",1,1,"","","","Identifier {[]} {[]}
","subject_of_care_id","subject_of_care_id","","","","","","","","","",,,,,"",,,,"getehrextract-request.subject_of_care_id",1,1,"",""
"getehrextract-request","getehrextract-request.purpose","getehrextract-request.purpose","","","",0,1,"","","","CodeableConcept {[]} {[]}
","purpose","purpose","","","","","","","","","",,,,,"",,,,"getehrextract-request.purpose",0,1,"",""
"getehrextract-request","getehrextract-request.rc-ids","getehrextract-request.rc_ids","","","",0,*,"","","","Identifier {[]} {[]}
","rc_ids","rc_ids","","","","","","","","","",,,,,"",,,,"getehrextract-request.rc_ids",0,*,"",""
"getehrextract-request","getehrextract-request.time-period","getehrextract-request.time_period","","","",0,1,"","","","Period {[]} {[]}
","time_period","time_period","","","","","","","","","",,,,,"",,,,"getehrextract-request.time_period",0,1,"",""
"getehrextract-request","getehrextract-request.max-sensitivity","getehrextract-request.max_sensitivity","","","",0,1,"","","","integer {[]} {[]}
","max_sensitivity","max_sensitivity","","","","","","","","","",,,,,"",,,,"getehrextract-request.max_sensitivity",0,1,"",""
"getehrextract-request","getehrextract-request.all-versions","getehrextract-request.all_versions","","","",0,1,"","","","boolean {[]} {[]}
","all_versions","all_versions","","","","","","","","","",,,,,"",,,,"getehrextract-request.all_versions",0,1,"",""
"getehrextract-request","getehrextract-request.multimedia-included","getehrextract-request.multimedia_included","","","",0,1,"","","","boolean {[]} {[]}
","multimedia_included","multimedia_included","","","","","","","","","",,,,,"",,,,"getehrextract-request.multimedia_included",0,1,"",""
"getehrextract-request","getehrextract-request.archetype-ids","getehrextract-request.archetype_ids","","","",0,*,"","","","Identifier {[]} {[]}
","archetype_ids","archetype_ids","","","","","","","","","",,,,,"",,,,"getehrextract-request.archetype_ids",0,*,"",""
"getehrextract-request","getehrextract-request.meanings","getehrextract-request.meanings","","","",0,*,"","","","CodeableConcept {[]} {[]}
","meanings","meanings","","","","","","","","","",,,,,"",,,,"getehrextract-request.meanings",0,*,"",""
"getehrextract-request","getehrextract-request.max-records","getehrextract-request.max_records","","","",0,1,"","","","integer {[]} {[]}
","max_records","max_records","","","","","","","","","",,,,,"",,,,"getehrextract-request.max_records",0,1,"",""
"getehrextract-request","getehrextract-request.parameters","getehrextract-request.parameters","","","",0,*,"","","","BackboneElement {[]} {[]}
","parameters","parameters","","","","","","","","","",,,,,"",,,,"getehrextract-request.parameters",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getehrextract-request","getehrextract-request.parameters.id","getehrextract-request.parameters.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
