"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getemployee-request","getemployee-request","","","",0,*,"","","","null {[]} {[]}
","GetEmployee — Request","Logisk modell för requestparametrar i tjänstekontraktet GetEmployee
(RIV-TA urn:riv:infrastructure:directory:employee:GetEmployee:4).
Är identisk med GetEmployeeIncludingProtectedPersonRequest förutom att
skyddade personer aldrig returneras.
OBS: Exakt ett av fälten personHsaId och personalIdentityNumber ska anges (*1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getemployee-request.personHsaId","getemployee-request.personHsaId","","","",0,1,"","","","string {[]} {[]}
","Sökt persons HSA-id","Sökt persons HSA-id. Ref. HSA-id (hsaIdentity) [R5].
Kardinalitet: Villkorlig (*1) — exakt ett av personHsaId/personalIdentityNumber ska anges.","","","","","","","","","",,,,,"",,,,"getemployee-request.personHsaId",0,1,"",""
"getemployee-request.personalIdentityNumber","getemployee-request.personalIdentityNumber","","","",0,1,"","","","string {[]} {[]}
","Sökt persons Person-id (personnummer eller samordningsnummer)","Sökt persons Person-id. Ref. person-id (personalIdentityNumber) [R5].
Kardinalitet: Villkorlig (*1) — exakt ett av personHsaId/personalIdentityNumber ska anges.","","","","","","","","","",,,,,"",,,,"getemployee-request.personalIdentityNumber",0,1,"",""
"getemployee-request.searchBase","getemployee-request.searchBase","","","",0,1,"","","","string {[]} {[]}
","Sökbas (DN)","Sökbas. Om ingen sökbas anges används c=SE som sökbas. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployee-request.searchBase",0,1,"",""
"getemployee-request.includeFeignedObject","getemployee-request.includeFeignedObject","","","",0,1,"","","","boolean {[]} {[]}
","Inkludera fingerade objekt","true: om metoden ska leverera svar med fingerade objekt. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployee-request.includeFeignedObject",0,1,"",""
"getemployee-request.profile","getemployee-request.profile","","","",0,1,"","","","string {[]} {[]}
","Profilval för returnerade attribut (BASIC, TITLE, CONTACT, FULL, extended1)","Anger vilka attribut som returneras i svaret.
Om värdet utelämnas antas FULL. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getemployee-request.profile",0,1,"",""
