"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getformdata","getformdata.formElement.sourceData.entry.value","getformdata.formElement.sourceData.entry.value","","","",1,1,"","","","string {[]} {[]}
","Värde för del av underlaget","Värde för del av underlaget.","","","","","","","","","",,,,,"",,,,"getformdata.formElement.sourceData.entry.value",1,1,"",""
"getformdata","getformdata.resultCode","getformdata.resultCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Resultatkod","OK = Hämtningen av underlag utfört utan fel.
ERROR = Fel har uppstått. Felet beskrivs i elementet resultText.
INFO = Information finns om hämtningen. Informationen beskrivs i elementet resultText.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/followup-qualityregistry-nkrr/ValueSet/resultcode-vs","",,,,"getformdata.resultCode",1,1,"",""
"getformdata","getformdata.resultText","getformdata.resultText","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd registrering","Beskrivning av fel som uppstått alternativt information om genomförd registrering.","","","","","","","","","",,,,,"",,,,"getformdata.resultText",0,1,"",""
"getformdata","getformdata.logId","getformdata.logId","","","",0,1,"","","","string {[]} {[]}
","Identifierare av loggpost hos tjänsteproducenten","Identifierare av loggpost hos tjänsteproducenten, t.ex. ett UUID som kan användas vid felsökning.","","","","","","","","","",,,,,"",,,,"getformdata.logId",0,1,"",""
"processregistrationnotification-request","processregistrationnotification-request","processregistrationnotification-request","","","",0,*,"","","","null {[]} {[]}
","ProcessRegistrationNotification — Request","Logisk modell för requestparametrar i ProcessRegistrationNotification
(RIV-TA urn:riv:followup:qualityregistry:nkrr:ProcessRegistrationNotification:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processregistrationnotification-request","processregistrationnotification-request.registrationType","processregistrationnotification-request.registrationType","","","",0,1,"","","","string {[]} {[]}
","Den typ av registrering i kvalitetsregistret som notifieringen avses ge upphov till","Den typ av registrering i kvalitetsregistret som notifieringen avses ge upphov till.
Ska anges enligt den informationsspecifikation som kvalitetsregistret tillhandahåller
för att beskriva hanteringen av notifiering till registret.
Typen av registrering ska vara unik inom en tjänsteproducent.","","","","","","","","","",,,,,"",,,,"processregistrationnotification-request.registrationType",0,1,"",""
"processregistrationnotification-request","processregistrationnotification-request.patientId","processregistrationnotification-request.patientId","","","",1,*,"","","","Identifier {[]} {[]}
","Id för patienten","Id för patienten där fältet extension sätts till patientens identitetsbeteckning.
Anges med 12 tecken utan avskiljare.
Fältet root sätts till OID för typ av identifierare.
För personnummer ska Skatteverkets OID för personnummer (1.2.752.129.2.1.3.1) användas.
För samordningsnummer ska Skatteverkets OID för samordningsnummer (1.2.752.129.2.1.3.3) användas.","","","","","","","","","",,,,,"",,,,"processregistrationnotification-request.patientId",1,*,"",""
"processregistrationnotification-request","processregistrationnotification-request.healthcareProviderId","processregistrationnotification-request.healthcareProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","Id för informationsägande vårdgivare","Id för informationsägande vårdgivare för informationen i notifieringen.
I första hand HSA-id (root = OID 1.2.752.129.2.1.4.1) alternativt i andra hand
organisationsnummer (root = OID 1.2.752.29.4.3).","","","","","","","","","",,,,,"",,,,"processregistrationnotification-request.healthcareProviderId",1,1,"",""
"processregistrationnotification-request","processregistrationnotification-request.registerUnitId","processregistrationnotification-request.registerUnitId","","","",0,1,"","","","string {[]} {[]}
","Id för registerenhet","Id för registerenhet. Registerenhet är den minsta indelning av datatillhörighet som ett
kvalitetsregister använder för registrering och analys av data.
Ska anges enligt den informationsspecifikation som kvalitetsregistret tillhandahåller.","","","","","","","","","",,,,,"",,,,"processregistrationnotification-request.registerUnitId",0,1,"",""
"processregistrationnotification-request","processregistrationnotification-request.reference","processregistrationnotification-request.reference","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information om referenser till tidigare registreringar i kvalitetsregistret","Information om referenser till tidigare registreringar i kvalitetsregistret.
Informationen används för att ge rätt kontext på den avsedda registreringen.
Ska anges enligt den informationsspecifikation som kvalitetsregistret tillhandahåller.
Obs: NkrrParameters eller reference får inte anges om fler än en patient anges.","","","","","","","","","",,,,,"",,,,"processregistrationnotification-request.reference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processregistrationnotification-request","processregistrationnotification-request.reference.id","processregistrationnotification-request.reference.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processregistrationnotification-request","processregistrationnotification-request.reference.extension","processregistrationnotification-request.reference.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
