"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"assertcareengagement-request","assertcareengagement-request","","","",0,*,"","","","null {[]} {[]}
","AssertCareEngagement — Request","Logisk modell för requestparametrar i tjänstekontraktet AssertCareEngagement
(RIV-TA urn:riv:ehr:accesscontrol:AssertCareEngagement:1).

Kontraktet används av tillämpningar som bereder professionen åtkomst till
sammanhållen journalföring för att styrka att medarbetaren har ett
behörighetsgrundande engagemang (TGP — Tillgänglig Patient).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"assertcareengagement-request.performer","assertcareengagement-request.performer","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren som begär åtkomst","HSA-id för medarbetare som begär åtkomst till sammanhållen journalföring.
Ska vara HSA-id för den medarbetare som är autentiserad i tjänstekonsumenten
och som begär åtkomst till sammanhållen journalföring.
Kardinalitet: Obligatorisk.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA)","","","","","","","","","",,,,,"",,,,"assertcareengagement-request.performer",1,1,"",""
"assertcareengagement-request.subjectOfCareId","assertcareengagement-request.subjectOfCareId","","","",1,1,"","","","Identifier {[]} {[]}
","Person- eller samordningsnummer","Person- eller samordningsnummer för den patient vars sammanhållna journalföring
söks. 12 tecken enligt Skatteverkets format (ej bindestreck).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"assertcareengagement-request.subjectOfCareId",1,1,"",""
"assertcareengagement-request.careUnitHsaIdentity","assertcareengagement-request.careUnitHsaIdentity","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetarens uppdragsvårdenhet","HSA-id för den vårdenhet på vars uppdrag medarbetaren agerar och begär åtkomst
till sammanhållen journalföring.
Kardinalitet: Obligatorisk.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA)","","","","","","","","","",,,,,"",,,,"assertcareengagement-request.careUnitHsaIdentity",1,1,"",""
"assertcareengagement-request.careGiverHsaIdentity","assertcareengagement-request.careGiverHsaIdentity","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för vårdgivaren","HSA-id för vårdgivaren där vårdenhet med HSA-id enligt careUnitHsaIdentity ingår.
Kardinalitet: Obligatorisk.
System: urn:oid:1.2.752.129.2.1.4.1 (HSA)","","","","","","","","","",,,,,"",,,,"assertcareengagement-request.careGiverHsaIdentity",1,1,"",""
