"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deleteformtemplate","deleteformtemplate","","","",0,*,"","","","null {[]} {[]}
","DeleteFormTemplate","Logisk modell för tjänstekontraktet DeleteFormTemplate
(RIV-TA urn:riv:infrastructure:eservicesupply:forminteraction:DeleteFormTemplate:1).
Representerar responsens informationsstruktur — signalerar om makuleringen av
formulärmallen lyckades.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteformtemplate.resultCode","deleteformtemplate.resultCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Resultatkod","Signalerar status på operationen (OK, INFO, ERROR).","","","","","","","","","",,"required","","https://fhir.inera.se/ig/infrastructure-eservicesupply-forminteraction/ValueSet/resultcode-vs","",,,,"deleteformtemplate.resultCode",1,1,"",""
"deleteformtemplate.resultText","deleteformtemplate.resultText","","","",0,1,"","","","string {[]} {[]}
","Kommentar","Attribut för felsignalering. Skall kunna visas för slutanvändaren.","","","","","","","","","",,,,,"",,,,"deleteformtemplate.resultText",0,1,"",""
