"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deleteformtemplate-request","deleteformtemplate-request","","","",0,*,"","","","null {[]} {[]}
","DeleteFormTemplate — Request","Logisk modell för requestparametrar i DeleteFormTemplate.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteformtemplate-request.templateId","deleteformtemplate-request.templateId","","","",1,1,"","","","string {[]} {[]}
","Mall-id","Unikt id för formulärmallen.","","","","","","","","","",,,,,"",,,,"deleteformtemplate-request.templateId",1,1,"",""
"deleteformtemplate-request.templateVersion","deleteformtemplate-request.templateVersion","","","",1,1,"","","","integer {[]} {[]}
","Mallversion","Version av formulärmall som ska makuleras.","","","","","","","","","",,,,,"",,,,"deleteformtemplate-request.templateVersion",1,1,"",""
"deleteformtemplate-request.healthCareFacilityUnit","deleteformtemplate-request.healthCareFacilityUnit","","","",1,1,"","","","Identifier {[]} {[]}
","Vårdenhet","HSA-id för den vårdenhet som är ägare till formulärmallen.","","","","","","","","","",,,,,"",,,,"deleteformtemplate-request.healthCareFacilityUnit",1,1,"",""
