"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelextendedpatientrelation","cancelextendedpatientrelation","","","",0,*,"","","","null {[]} {[]}
","CancelExtendedPatientRelation","Logisk modell för tjänstekontraktet CancelExtendedPatientRelation
(RIV-TA urn:riv:ehr:patientrelationship:administration:CancelExtendedPatientRelationResponder:1).
Representerar responsens informationsstruktur — status för om återkallelsen utfördes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelextendedpatientrelation.resultCode","cancelextendedpatientrelation.resultCode","","","",1,1,"","","","code {[]} {[]}
","Svarskod för åtgärden","Svarskod för åtgärden","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientrelationship/ValueSet/resultcode-vs","",,,,"cancelextendedpatientrelation.resultCode",1,1,"",""
"cancelextendedpatientrelation.resultText","cancelextendedpatientrelation.resultText","","","",1,1,"","","","string {[]} {[]}
","Optionellt felmeddelande (tomt om resultCode=OK)","Optionellt felmeddelande (tomt om resultCode=OK)","","","","","","","","","",,,,,"",,,,"cancelextendedpatientrelation.resultText",1,1,"",""
