"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registerextendedpatientrelation","registerextendedpatientrelation","","","",0,*,"","","","null {[]} {[]}
","RegisterExtendedPatientRelation","Logisk modell för tjänstekontraktet RegisterExtendedPatientRelation
(RIV-TA urn:riv:ehr:patientrelationship:administration:RegisterExtendedPatientRelationResponder:1).
Representerar responsens informationsstruktur — status för om registreringen utfördes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registerextendedpatientrelation.resultCode","registerextendedpatientrelation.resultCode","","","",1,1,"","","","code {[]} {[]}
","Svarskod för åtgärden","Anger om registreringen lyckades. Alla koder förutom OK och INFO indikerar att åtgärden ej genomfördes.","","","","","","","","","",,"required","","https://fhir.inera.se/ig/ehr-patientrelationship/ValueSet/resultcode-vs","",,,,"registerextendedpatientrelation.resultCode",1,1,"",""
"registerextendedpatientrelation.resultText","registerextendedpatientrelation.resultText","","","",1,1,"","","","string {[]} {[]}
","Optionellt felmeddelande (tomt om resultCode=OK)","Optionellt felmeddelande (tomt om resultCode=OK)","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation.resultText",1,1,"",""
