"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registerextendedpatientrelation-request","registerextendedpatientrelation-request","","","",0,*,"","","","null {[]} {[]}
","RegisterExtendedPatientRelation — Request","Logisk modell för requestparametrar i RegisterExtendedPatientRelation.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registerextendedpatientrelation-request.patientRelationId","registerextendedpatientrelation-request.patientRelationId","","","",1,1,"","","","string {[]} {[]}
","Unik, global UUID-identifierare för intyget (max 36 tecken)","Tjänstekonsumenten ansvarar för att generera id:et.","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.patientRelationId",1,1,"",""
"registerextendedpatientrelation-request.patientId","registerextendedpatientrelation-request.patientId","","","",1,1,"","","","string {[]} {[]}
","Patientens personnummer alternativt samordningsnummer (max 12 tecken)","Patientens personnummer alternativt samordningsnummer (max 12 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.patientId",1,1,"",""
"registerextendedpatientrelation-request.careProviderId","registerextendedpatientrelation-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","Id på den vårdgivare som intyget gäller för (HSA-id)","Id på den vårdgivare som intyget gäller för (HSA-id)","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.careProviderId",1,1,"",""
"registerextendedpatientrelation-request.careUnitId","registerextendedpatientrelation-request.careUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Id på den vårdenhet som intyget gäller för (HSA-id)","Id på den vårdenhet som intyget gäller för (HSA-id)","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.careUnitId",1,1,"",""
"registerextendedpatientrelation-request.employeeId","registerextendedpatientrelation-request.employeeId","","","",1,1,"","","","Identifier {[]} {[]}
","Medarbetare-id för den medarbetare som patientrelationen gäller för (HSA-id)","Medarbetare-id för den medarbetare som patientrelationen gäller för (HSA-id)","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.employeeId",1,1,"",""
"registerextendedpatientrelation-request.startDate","registerextendedpatientrelation-request.startDate","","","",0,1,"","","","dateTime {[]} {[]}
","Valfritt startdatum för intygets giltighetstid","Om angivet gäller intyget fr.o.m denna tidpunkt, annars gäller patientrelationen fr.o.m registreringstidpunkten.","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.startDate",0,1,"",""
"registerextendedpatientrelation-request.endDate","registerextendedpatientrelation-request.endDate","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt då giltigheten går ut för patientrelationen","Tidpunkt då giltigheten går ut för patientrelationen","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.endDate",1,1,"",""
"registerextendedpatientrelation-request.registrationAction","registerextendedpatientrelation-request.registrationAction","","","",1,1,"","","","BackboneElement {[]} {[]}
","Information om begäran och registrering av patientrelationen","Information om begäran och registrering av patientrelationen","","","","","","","","","",,,,,"",,,,"registerextendedpatientrelation-request.registrationAction",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registerextendedpatientrelation-request.registrationAction.id","registerextendedpatientrelation-request.registrationAction.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
