"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getpatientrelationsforcareprovider-request","getpatientrelationsforcareprovider-request","","","",0,*,"","","","null {[]} {[]}
","GetPatientRelationsForCareProvider — Request","Logisk modell för requestparametrar i GetPatientRelationsForCareProvider.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getpatientrelationsforcareprovider-request.careProviderId","getpatientrelationsforcareprovider-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id på den vårdgivare vars patientrelationer skall hämtas","HSA-id på den vårdgivare vars patientrelationer skall hämtas","","","","","","","","","",,,,,"",,,,"getpatientrelationsforcareprovider-request.careProviderId",1,1,"",""
"getpatientrelationsforcareprovider-request.createdOnOrAfter","getpatientrelationsforcareprovider-request.createdOnOrAfter","","","",0,1,"","","","dateTime {[]} {[]}
","Valfritt startdatum — returnerar bara patientrelationer skapade på eller efter denna tidpunkt","Användbart vid upprepande förfrågningar för att undvika att data som redan inhämtats returneras igen.","","","","","","","","","",,,,,"",,,,"getpatientrelationsforcareprovider-request.createdOnOrAfter",0,1,"",""
"getpatientrelationsforcareprovider-request.getCancelledFlag","getpatientrelationsforcareprovider-request.getCancelledFlag","","","",1,1,"","","","boolean {[]} {[]}
","Flagga som avgör om makulerade och återkallade patientrelationer skall returneras","Flagga som avgör om makulerade och återkallade patientrelationer skall returneras","","","","","","","","","",,,,,"",,,,"getpatientrelationsforcareprovider-request.getCancelledFlag",1,1,"",""
