"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getextendedconsentsforpatient-request","getextendedconsentsforpatient-request","","","",0,*,"","","","null {[]} {[]}
","GetExtendedConsentsForPatient — Request","Logisk modell för requestparametrar i GetExtendedConsentsForPatient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getextendedconsentsforpatient-request.careProviderId","getextendedconsentsforpatient-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id på den vårdgivare vars samtycken skall hämtas","Identifierare för vårdgivare. system = urn:oid:1.2.752.129.2.1.4.1. Max 32 tecken.","","","","","","","","","",,,,,"",,,,"getextendedconsentsforpatient-request.careProviderId",1,1,"",""
"getextendedconsentsforpatient-request.patientId","getextendedconsentsforpatient-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens personnummer alternativt samordningsnummer vars samtycken skall hämtas","PersonIdValue — personnummer, samordningsnummer eller reservnummer. Max 12 tecken.","","","","","","","","","",,,,,"",,,,"getextendedconsentsforpatient-request.patientId",1,1,"",""
"getextendedconsentsforpatient-request.getCancelledFlag","getextendedconsentsforpatient-request.getCancelledFlag","","","",1,1,"","","","boolean {[]} {[]}
","Flagga som avgör om ogiltiga samtyckesintyg skall returneras","Om true returneras även makulerade, återkallade och utgångna intyg.","","","","","","","","","",,,,,"",,,,"getextendedconsentsforpatient-request.getCancelledFlag",1,1,"",""
