"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getconsentsforcareprovider-request","getconsentsforcareprovider-request","","","",0,*,"","","","null {[]} {[]}
","GetConsentsForCareProvider — Request","Logisk modell för requestparametrar i GetConsentsForCareProvider.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getconsentsforcareprovider-request.careProviderId","getconsentsforcareprovider-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id på den vårdgivare vars samtycken skall hämtas","Identifierare för vårdgivare. system = urn:oid:1.2.752.129.2.1.4.1. Max 32 tecken.","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider-request.careProviderId",1,1,"",""
"getconsentsforcareprovider-request.createdOnOrAfter","getconsentsforcareprovider-request.createdOnOrAfter","","","",0,1,"","","","dateTime {[]} {[]}
","Ej obligatoriskt startdatum för hur gamla samtyckesintyg som skall hämtas","Om angivet returneras endast samtyckesintyg som är giltiga i tjänsten på eller efter denna tidpunkt.
Användbart vid upprepande förfrågningar för att undvika att data som redan inhämtats returneras.","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider-request.createdOnOrAfter",0,1,"",""
"getconsentsforcareprovider-request.getCancelledFlag","getconsentsforcareprovider-request.getCancelledFlag","","","",1,1,"","","","boolean {[]} {[]}
","Flagga som avgör om makulerade och återkallade samtyckesintyg skall returneras","Om true returneras även makulerade och återkallade intyg som inte är utgångna.
Utgångna intyg (giltigt t o m har passerats) returneras ej oavsett makulering eller återkallning.","","","","","","","","","",,,,,"",,,,"getconsentsforcareprovider-request.getCancelledFlag",1,1,"",""
