"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getconsentsforpatient-request","getconsentsforpatient-request","","","",0,*,"","","","null {[]} {[]}
","GetConsentsForPatient — Request","Logisk modell för requestparametrar i GetConsentsForPatient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getconsentsforpatient-request.careProviderId","getconsentsforpatient-request.careProviderId","","","",1,1,"","","","Identifier {[]} {[]}
","Obligatoriskt HSA-id på den vårdgivare vars samtycken skall hämtas","Identifierare för vårdgivare. system = urn:oid:1.2.752.129.2.1.4.1. Max 32 tecken.","","","","","","","","","",,,,,"",,,,"getconsentsforpatient-request.careProviderId",1,1,"",""
"getconsentsforpatient-request.patientId","getconsentsforpatient-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens personnummer alternativt samordningsnummer vars samtycken skall hämtas","PersonIdValue — personnummer, samordningsnummer eller reservnummer. Max 12 tecken.","","","","","","","","","",,,,,"",,,,"getconsentsforpatient-request.patientId",1,1,"",""
