"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"gethealthcareunitmembers-request","gethealthcareunitmembers-request","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnitMembers — Request","Logisk modell för requestparametrar i GetHealthCareUnitMembers (RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnitMembers:2).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunitmembers-request.healthCareUnitHsaId","gethealthcareunitmembers-request.healthCareUnitHsaId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet enligt PDL. Ref. hsaIdentity [R5].","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.healthCareUnitHsaId",1,1,"",""
"gethealthcareunitmembers-request.searchBase","gethealthcareunitmembers-request.searchBase","","","",0,1,"","","","string {[]} {[]}
","Sökbas. Om ingen sökbas anges används c=SE som sökbas.","DN-format. Obs: kopplade enheter söks alltid med sökbas c=se.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.searchBase",0,1,"",""
"gethealthcareunitmembers-request.includeFeignedObject","gethealthcareunitmembers-request.includeFeignedObject","","","",0,1,"","","","boolean {[]} {[]}
","true: om metoden ska leverera svar med fingerade objekt.","Uteblivet värde tolkas som false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.includeFeignedObject",0,1,"",""
