"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processprescriptionreason-response","processprescriptionreason-response","","","",0,*,"","","","null {[]} {[]}
","ProcessPrescriptionReason — Response","Logisk modell för responsen från tjänstekontraktet ProcessPrescriptionReason
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessPrescriptionReason:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processprescriptionreason-response.resultCode","processprescriptionreason-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen. Felet beskrivs i elementet comment
INFO = Information finns om operationen. Informationen beskrivs i elementet comment
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-response.resultCode",1,1,"",""
"processprescriptionreason-response.comment","processprescriptionreason-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-response.comment",0,1,"",""
