"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processlaboratoryreport-response","processlaboratoryreport-response","","","",0,*,"","","","null {[]} {[]}
","ProcessLaboratoryReport — Response","Logisk modell för responsen från tjänstekontraktet ProcessLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessLaboratoryReport:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processlaboratoryreport-response.resultCode","processlaboratoryreport-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-response.resultCode",1,1,"",""
"processlaboratoryreport-response.comment","processlaboratoryreport-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-response.comment",0,1,"",""
