"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deleteprescriptionreason-request","deleteprescriptionreason-request","","","",0,*,"","","","null {[]} {[]}
","DeletePrescriptionReason — Request","Logisk modell för requestparametrar i tjänstekontraktet DeletePrescriptionReason
(RIV-TA urn:riv:followup:processdevelopment:infections:DeletePrescriptionReason:1).
Raderar information som tidigare registrerats via ProcessPrescriptionReason.
Antingen activityId eller conditionId ska anges, men inte båda.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deleteprescriptionreason-request.activityId","deleteprescriptionreason-request.activityId","","","",0,1,"","","","Identifier {[]} {[]}
","Aktivitets-id för den aktivitet som ska raderas (profylax)","Anges när den ordinationsorsak som ska raderas är en aktivitet (profylax).
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Villkorlig — antingen activityId eller conditionId ska anges.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-request.activityId",0,1,"",""
"deleteprescriptionreason-request.conditionId","deleteprescriptionreason-request.conditionId","","","",0,1,"","","","Identifier {[]} {[]}
","Tillstånds-id för det tillstånd/diagnos som ska raderas (infektion)","Anges när den ordinationsorsak som ska raderas är ett tillstånd (infektion).
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Villkorlig — antingen activityId eller conditionId ska anges.","","","","","","","","","",,,,,"",,,,"deleteprescriptionreason-request.conditionId",0,1,"",""
