"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"deletelaboratoryreport-response","deletelaboratoryreport-response","","","",0,*,"","","","null {[]} {[]}
","DeleteLaboratoryReport — Response","Logisk modell för responsen från tjänstekontraktet DeleteLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:DeleteLaboratoryReport:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"deletelaboratoryreport-response.resultCode","deletelaboratoryreport-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"deletelaboratoryreport-response.resultCode",1,1,"",""
"deletelaboratoryreport-response.comment","deletelaboratoryreport-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"deletelaboratoryreport-response.comment",0,1,"",""
