"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"createlisting","createlisting","","","",0,*,"","","","null {[]} {[]}
","CreateListing","Logisk modell för tjänstekontraktet CreateListing (Göra tjänsteval)
(RIV-TA urn:riv:crm:carelisting:CreateListingResponder:1).
Representerar responsens informationsstruktur.
Skapar en ny listning — kopplar ett personId till en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"createlisting.success","createlisting.success","","","",1,1,"","","","boolean {[]} {[]}
","True om listningen genomfördes framgångsrikt","True if the requested listing was successfully completed, else false.
False indicates that the user needs to try another option for listing.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"createlisting.success",1,1,"",""
"createlisting.comment","createlisting.comment","","","",0,1,"","","","string {[]} {[]}
","Information som kompletterar angiven status","Informationstext som kompletterar angiven status, t.ex. felmeddelande.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"createlisting.comment",0,1,"",""
"createlisting.systemCode","createlisting.systemCode","","","",0,1,"","","","string {[]} {[]}
","Kod från underliggande listningssystem","Kod från underliggande listningssystem, i syfte att användas i dialog
med respektive listningssystems förvaltning.
Tjänstekonsumenten får inte binda logik till värden på dessa koder.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"createlisting.systemCode",0,1,"",""
