"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getaccesslogsforpatient-request","getaccesslogsforpatient-request","","","",0,*,"","","","null {[]} {[]}
","GetAccessLogsForPatient — Request","Logisk modell för requestparametrar i GetAccessLogsForPatient.
Obs: queuedReportId ska INTE användas när aggregerande tjänst anropas.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getaccesslogsforpatient-request.patientId","getaccesslogsforpatient-request.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens personnummer, samordningsnummer eller reservnummer","Patientens personnummer, samordningsnummer eller reservnummer","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient-request.patientId",1,1,"",""
"getaccesslogsforpatient-request.fromDate","getaccesslogsforpatient-request.fromDate","","","",1,1,"","","","dateTime {[]} {[]}
","Obligatoriskt startdatum för rapportuttaget","Obligatoriskt startdatum för rapportuttaget","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient-request.fromDate",1,1,"",""
"getaccesslogsforpatient-request.toDate","getaccesslogsforpatient-request.toDate","","","",1,1,"","","","dateTime {[]} {[]}
","Obligatoriskt slutdatum för rapportuttaget","Obligatoriskt slutdatum för rapportuttaget","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient-request.toDate",1,1,"",""
"getaccesslogsforpatient-request.queuedReportId","getaccesslogsforpatient-request.queuedReportId","","","",0,1,"","","","string {[]} {[]}
","Id på en pågående rapport (UUID) — ej vid aggregerande anrop","Id på en pågående rapport (UUID) — ej vid aggregerande anrop","","","","","","","","","",,,,,"",,,,"getaccesslogsforpatient-request.queuedReportId",0,1,"",""
