"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"aterkallasamtyckevardsystem","aterkallasamtyckevardsystem","","","",0,*,"","","","null {[]} {[]}
","AterkallaSamtyckeVardsystem — Response","Logisk modell för svaret i AterkallaSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:AterkallaSamtyckeVardsystemResponder:1, AterkallaSamtyckeVardsystemResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"aterkallasamtyckevardsystem.aterkallandedatum","aterkallasamtyckevardsystem.aterkallandedatum","","","",0,1,"","","","dateTime {[]} {[]}
","aterkallandedatum","Datum då tillsvidaresamtycke återkallades. Ej angiven om samtycke saknades.","","","","","","","","","",,,,,"",,,,"aterkallasamtyckevardsystem.aterkallandedatum",0,1,"",""
"aterkallasamtyckevardsystem.samtycke","aterkallasamtyckevardsystem.samtycke","","","",1,1,"","","","integer {[]} {[]}
","samtycke","Anger status efter återkallande. Möjliga värden är: 2 = Samtycke att läsa Läkemedelsförteckningen har återkallats","","","","","","","","","",,,,,"",,,,"aterkallasamtyckevardsystem.samtycke",1,1,"",""
