"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getallblocks-request","getallblocks-request","","","",0,*,"","","","null {[]} {[]}
","GetAllBlocks — Request","Logisk modell för requestparametrar i GetAllBlocks.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallblocks-request.careProviderIds","getallblocks-request.careProviderIds","","","",0,*,"","","","string {[]} {[]}
","HSA-id på de vårdgivare vars spärrar skall hämtas. Om utelämnat hämtas alla spärrar oavsett organisation.","HSA-id på de vårdgivare vars spärrar skall hämtas. Om utelämnat hämtas alla spärrar oavsett organisation.","","","","","","","","","",,,,,"",,,,"getallblocks-request.careProviderIds",0,*,"",""
"getallblocks-request.createdOnOrAfter","getallblocks-request.createdOnOrAfter","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum — returnerar endast spärrar lagrade/förändrade på eller efter detta datum.","Startdatum — returnerar endast spärrar lagrade/förändrade på eller efter detta datum.","","","","","","","","","",,,,,"",,,,"getallblocks-request.createdOnOrAfter",0,1,"",""
