"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getextendedblockforpatient-request","getextendedblockforpatient-request","","","",0,*,"","","","null {[]} {[]}
","GetExtendedBlocksForPatient — Request","Logisk modell för requestparametrar i GetExtendedBlocksForPatient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getextendedblockforpatient-request.careProviderId","getextendedblockforpatient-request.careProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id på den vårdgivare vars spärrar skall hämtas.","HSA-id på den vårdgivare vars spärrar skall hämtas.","","","","","","","","","",,,,,"",,,,"getextendedblockforpatient-request.careProviderId",1,1,"",""
"getextendedblockforpatient-request.patientId","getextendedblockforpatient-request.patientId","","","",1,1,"","","","string {[]} {[]}
","Personnummer på patienten vars spärrar skall hämtas.","Personnummer på patienten vars spärrar skall hämtas.","","","","","","","","","",,,,,"",,,,"getextendedblockforpatient-request.patientId",1,1,"",""
