"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getblocks-request","getblocks-request","","","",0,*,"","","","null {[]} {[]}
","GetBlocks — Request","Logisk modell för requestparametrar i GetBlocks.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getblocks-request.careProviderId","getblocks-request.careProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id på den vårdgivare vars spärrar skall hämtas.","HSA-id på den vårdgivare vars spärrar skall hämtas.","","","","","","","","","",,,,,"",,,,"getblocks-request.careProviderId",1,1,"",""
"getblocks-request.createdOnOrAfter","getblocks-request.createdOnOrAfter","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för inkrementell hämtning.","Startdatum för inkrementell hämtning.","","","","","","","","","",,,,,"",,,,"getblocks-request.createdOnOrAfter",0,1,"",""
