"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getblocksforpatient-request","getblocksforpatient-request","","","",0,*,"","","","null {[]} {[]}
","GetBlocksForPatient — Request","Logisk modell för requestparametrar i GetBlocksForPatient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getblocksforpatient-request.patientId","getblocksforpatient-request.patientId","","","",1,1,"","","","string {[]} {[]}
","Patientens personnummer eller samordningsnummer vars spärrar skall hämtas.","Patientens personnummer eller samordningsnummer vars spärrar skall hämtas.","","","","","","","","","",,,,,"",,,,"getblocksforpatient-request.patientId",1,1,"",""
"getblocksforpatient-request.careProviderId","getblocksforpatient-request.careProviderId","","","",1,1,"","","","string {[]} {[]}
","HSA-id på den vårdgivare vars spärrar skall hämtas.","HSA-id på den vårdgivare vars spärrar skall hämtas.","","","","","","","","","",,,,,"",,,,"getblocksforpatient-request.careProviderId",1,1,"",""
"getblocksforpatient-request.createdOnOrAfter","getblocksforpatient-request.createdOnOrAfter","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för inkrementell hämtning.","Startdatum för inkrementell hämtning.","","","","","","","","","",,,,,"",,,,"getblocksforpatient-request.createdOnOrAfter",0,1,"",""
