"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"findallquestions-request","findallquestions-request","","","",0,*,"","","","null {[]} {[]}
","FindAllQuestions — Request","Logisk modell för requestparametrar i tjänstekontraktet FindAllQuestions
(RIV-TA urn:riv:insuranceprocess:healthreporting:FindAllQuestions:1).
Returnerar frågor från FK som mellanlagrats av vården.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"findallquestions-request.careUnitId","findallquestions-request.careUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Vårdenhetens HSA-id","system = urn:oid:1.2.752.129.2.1.4.1 (HSA-ID).","","","","","","","","","",,,,,"",,,,"findallquestions-request.careUnitId",1,1,"",""
"findallquestions-request.careGiverId","findallquestions-request.careGiverId","","","",1,1,"","","","Identifier {[]} {[]}
","Vårdgivarens HSA-id","Vårdgivarens HSA-id","","","","","","","","","",,,,,"",,,,"findallquestions-request.careGiverId",1,1,"",""
