"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processlaboratoryreport","processlaboratoryreport","","","",0,*,"","","","null {[]} {[]}
","ProcessLaboratoryReport","Logisk modell för tjänstekontraktet ProcessLaboratoryReport
(RIV-TA processdevelopment:infections). Representerar responsens
informationsstruktur — bekräftar registrering av ett laboratoriesvar.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processlaboratoryreport.resultCode","processlaboratoryreport.resultCode","","","",1,1,"","","","code {[]} {[]}
","Resultatkod","Resultatkod","","","","","","","","","",,"required","","https://fhir.inera.se/ig/processdevelopment-infections/ValueSet/resultcode-vs","",,,,"processlaboratoryreport.resultCode",1,1,"",""
"processlaboratoryreport.comment","processlaboratoryreport.comment","","","",0,1,"","","","string {[]} {[]}
","Kommentar","Beskrivning av fel som uppstått alternativt information om genomförd
registrering.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport.comment",0,1,"",""
