"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking-request","cancelbooking-request","","","",0,*,"","","","null {[]} {[]}
","CancelBooking — Request","Logisk modell för requestparametrar i CancelBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelbooking-request.healthcare-facility","cancelbooking-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.healthcare_facility",1,1,"",""
"cancelbooking-request.bookingId","cancelbooking-request.bookingId","","","",1,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet för bokningen som ska avbokas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.bookingId",1,1,"",""
"cancelbooking-request.message","cancelbooking-request.message","","","",0,1,"","","","string {[]} {[]}
","Invånarens beskrivning av orsak för avbokning","Invånarens beskrivning av orsak för avbokning.
Fältet kan bara skickas om värdet på message_allowed är 'true' i svaret från GetBookingDetails.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"cancelbooking-request.message",0,1,"",""
