"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"makebooking","makebooking","","","",0,*,"","","","null {[]} {[]}
","MakeBooking","Logisk modell för tjänstekontraktet MakeBooking
(RIV-TA urn:riv:crm:scheduling:MakeBooking:1).
Representerar responsens informationsstruktur.
Tjänst för nybokning vid en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"makebooking.bookingId","makebooking.bookingId","","","",0,1,"","","","string {[]} {[]}
","Id för skapad bokning","Id för skapad bokning. Ska anges vid genomförd bokning (resultCode OK eller INFO), annars inte (ERROR).
Kardinalitet: Valfri (villkorlig).","","","","","","","","","",,,,,"",,,,"makebooking.bookingId",0,1,"",""
"makebooking.resultCode","makebooking.resultCode","","","",1,1,"","","","string {[]} {[]}
","Status för den gjorda bokningen","ResultCodeEnum: Status för den gjorda bokningen.
Möjliga värden: OK, INFO, ERROR.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking.resultCode",1,1,"",""
"makebooking.resultText","makebooking.resultText","","","",0,1,"","","","string {[]} {[]}
","Ev. meddelande kopplat till resultatkoden","Fritext meddelande kopplat till resultatkoden.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking.resultText",0,1,"",""
