"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking","cancelbooking","","","",0,*,"","","","null {[]} {[]}
","CancelBooking","Logisk modell för tjänstekontraktet CancelBooking
(RIV-TA urn:riv:crm:scheduling:CancelBooking:1).
Representerar responsens informationsstruktur.
Tjänst för att avboka en bokning vid en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelbooking.resultCode","cancelbooking.resultCode","","","",1,1,"","","","string {[]} {[]}
","Status för den gjorda avbokningen","ResultCodeEnum: Status för den gjorda avbokningen.
Möjliga värden: OK, INFO, ERROR.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"cancelbooking.resultCode",1,1,"",""
"cancelbooking.resultText","cancelbooking.resultText","","","",0,1,"","","","string {[]} {[]}
","Ev. meddelande kopplat till resultatkoden","Fritext meddelande kopplat till resultatkoden.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"cancelbooking.resultText",0,1,"",""
