"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getallhealthcarefacilities-request","getallhealthcarefacilities-request","","","",0,*,"","","","null {[]} {[]}
","GetAllHealthcareFacilities — Request","Logisk modell för requestparametrar i GetAllHealthcareFacilities.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallhealthcarefacilities-request.healthcare-facility","getallhealthcarefacilities-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet (kallande organisation).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.healthcare_facility",1,1,"",""
"getallhealthcarefacilities-request.subject-of-care","getallhealthcarefacilities-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren. Kan användas för att filtrera svar per invånare.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.subject_of_care",1,1,"",""
"getallhealthcarefacilities-request.bookingId","getallhealthcarefacilities-request.bookingId","","","",0,1,"","","","string {[]} {[]}
","Internt bokningsid","Internt bokningsid. Obligatoriskt när förfrågan gäller ombokning.
Kardinalitet: Valfri (villkorlig: obligatorisk vid ombokning).","","","","","","","","","",,,,,"",,,,"getallhealthcarefacilities-request.bookingId",0,1,"",""
