"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"updatebooking","updatebooking","","","",0,*,"","","","null {[]} {[]}
","UpdateBooking","Logisk modell för tjänstekontraktet UpdateBooking
(RIV-TA urn:riv:crm:scheduling:UpdateBooking:1).
Representerar responsens informationsstruktur.
Tjänst för att uppdatera en bokning med nytt datum och tid (ombokning).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"updatebooking.resultCode","updatebooking.resultCode","","","",1,1,"","","","string {[]} {[]}
","Status för den gjorda ombokningen","ResultCodeEnum: Status för den gjorda ombokningen.
Möjliga värden: OK, INFO, ERROR.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"updatebooking.resultCode",1,1,"",""
"updatebooking.resultText","updatebooking.resultText","","","",0,1,"","","","string {[]} {[]}
","Ev. meddelande kopplat till resultatkoden","Fritext meddelande kopplat till resultatkoden.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"updatebooking.resultText",0,1,"",""
