"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getbookingdetails-request","getbookingdetails-request","","","",0,*,"","","","null {[]} {[]}
","GetBookingDetails — Request","Logisk modell för requestparametrar i GetBookingDetails.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getbookingdetails-request.healthcare-facility","getbookingdetails-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails-request.healthcare_facility",1,1,"",""
"getbookingdetails-request.bookingId","getbookingdetails-request.bookingId","","","",1,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails-request.bookingId",1,1,"",""
