"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getallcaretypes-request","getallcaretypes-request","","","",0,*,"","","","null {[]} {[]}
","GetAllCareTypes — Request","Logisk modell för requestparametrar i GetAllCareTypes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getallcaretypes-request.healthcare-facility","getallcaretypes-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.healthcare_facility",1,1,"",""
"getallcaretypes-request.timeTypeIDs","getallcaretypes-request.timeTypeIDs","","","",0,*,"","","","string {[]} {[]}
","Lista med tidstyper","Lista med tidstyper för att filtrera svarslistan.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.timeTypeIDs",0,*,"",""
"getallcaretypes-request.performer","getallcaretypes-request.performer","","","",0,*,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren","HSA-id för medarbetaren för att filtrera svarslistan.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.performer",0,*,"",""
"getallcaretypes-request.subject-of-care","getallcaretypes-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getallcaretypes-request.subject_of_care",1,1,"",""
